
Scenario 1
Priority,Sign,Lane,Seconds
Priority 1: straight   main       50 seconds
Priority 2: straight   diversion  30 seconds
Priority 3: left       main       25 seconds
Priority 4: left       diversion  20 seconds
Priority 5: right      main       25 seconds
Priority 6: right      diversion  20 seconds
Priority 7: pedestrian main       15 seconds
Priority 8: pedestrian diversion  20 seconds

Total time before 'pedestrian main' can cross: 170 seconds

Scenario 2
Priority,Sign,Lane,Seconds
Priority 1: left       main       45 seconds
Priority 2: pedestrian main       15 seconds
Priority 3: straight   diversion  25 seconds
Priority 4: left       diversion  30 seconds
Priority 5: right      main       20 seconds

Total time before 'pedestrian main' can cross: 45 seconds

Scenario 3
Priority,Sign,Lane,Seconds
Priority 1: pedestrian main       10 seconds
Priority 2: right      main       30 seconds
Priority 3: left       main       20 seconds
Priority 4: straight   diversion  40 seconds

Total time before 'pedestrian main' can cross: 0 seconds
